"Isolation","Trait_A","Trait_B","Observed_NN","Percent_NN"
"Pathogenic","Galactose_F","Maltose",13,0
"Pathogenic","Galactose_F","Melezitose",15,0
"Pathogenic","Galactose_F","Methyl-?-D-glucoside",17,0
"Pathogenic","Galactose_F","Soluble Starch",18,0
"Pathogenic","Galactose_F","Cellobiose",8,0
"Pathogenic","Galactose_F","Salicin",8,0
"Pathogenic","Galactose_F","L-Sorbose",7,0
"Pathogenic","Galactose_F","L-Rhamnose",15,0
"Pathogenic","Galactose_F","D-Xylose",8,0
"Pathogenic","Galactose_F","L-Arabinose",12,0
"Pathogenic","Galactose_F","D-Arabinose",17,0
"Pathogenic","Galactose_F","D-Ribose",12,0
"Pathogenic","Galactose_F","Methanol",23,0
"Pathogenic","Galactose_F","Ethanol",4,0.001
"Pathogenic","Galactose_F","Glycerol",2,0
"Pathogenic","Galactose_F","Erythritol",13,0
"Pathogenic","Galactose_F","Ribitol",8,0
"Pathogenic","Galactose_F","Galactitol",19,0
"Pathogenic","Galactose_F","D-Mannitol",6,0
"Pathogenic","Galactose_F","D-Glucitol",3,0
"Pathogenic","Galactose_F","myo-Inositol",22,0
"Pathogenic","Galactose_F","DL-Lactate",13,0
"Pathogenic","Galactose_F","Succinate",2,0
"Pathogenic","Galactose_F","Citrate",6,0
"Pathogenic","Galactose_F","D-Gluconate",4,0
"Pathogenic","Galactose_F","D-Glucosamine",13,0
"Pathogenic","Galactose_F","Nitrate",22,0
"Pathogenic","Galactose_F","Vitamin-free",17,0
"Pathogenic","Galactose_F","2-Keto-D-gluconate",10,0
"Pathogenic","Galactose_F","Starch formation",23,0
"Pathogenic","Galactose_F","Growth at 19°C",0,0
"Pathogenic","Galactose_F","Growth at 25°C",0,0.779
"Pathogenic","Galactose_F","Growth at 30°C",3,0.344
"Pathogenic","Galactose_F","Growth at 37°C",0,0
"Pathogenic","Sucrose_F","Maltose_F",21,0
"Pathogenic","Sucrose_F","Lactose_F",23,0
"Pathogenic","Sucrose_F","Raffinose_F",21,0
"Pathogenic","Sucrose_F","Trehalose_F",18,0
"Pathogenic","Sucrose_F","Glucose",0,1
"Pathogenic","Sucrose_F","Inulin",22,0
"Pathogenic","Sucrose_F","Sucrose",14,0
"Pathogenic","Sucrose_F","Raffinose",16,0
"Pathogenic","Sucrose_F","Melibiose",19,0
"Pathogenic","Sucrose_F","Galactose",6,0
"Pathogenic","Sucrose_F","Lactose",19,0
"Pathogenic","Sucrose_F","Trehalose",8,0
"Pathogenic","Sucrose_F","Maltose",13,0
"Pathogenic","Sucrose_F","Melezitose",15,0
"Pathogenic","Sucrose_F","Methyl-?-D-glucoside",17,0
"Pathogenic","Sucrose_F","Soluble Starch",18,0
"Pathogenic","Sucrose_F","Cellobiose",8,0
"Pathogenic","Sucrose_F","Salicin",8,0
"Pathogenic","Sucrose_F","L-Sorbose",7,0
"Pathogenic","Sucrose_F","L-Rhamnose",15,0
"Pathogenic","Sucrose_F","D-Xylose",8,0
"Pathogenic","Sucrose_F","L-Arabinose",12,0
"Pathogenic","Sucrose_F","D-Arabinose",17,0
"Pathogenic","Sucrose_F","D-Ribose",12,0
"Pathogenic","Sucrose_F","Methanol",23,0
"Pathogenic","Sucrose_F","Ethanol",4,0
"Pathogenic","Sucrose_F","Glycerol",2,0
"Pathogenic","Sucrose_F","Erythritol",13,0
"Pathogenic","Sucrose_F","Ribitol",8,0
"Pathogenic","Sucrose_F","Galactitol",19,0
"Pathogenic","Sucrose_F","D-Mannitol",6,0
"Pathogenic","Sucrose_F","D-Glucitol",3,0
"Pathogenic","Sucrose_F","myo-Inositol",22,0
"Pathogenic","Sucrose_F","DL-Lactate",13,0
"Pathogenic","Sucrose_F","Succinate",2,0
"Pathogenic","Sucrose_F","Citrate",6,0
"Pathogenic","Sucrose_F","D-Gluconate",4,0
"Pathogenic","Sucrose_F","D-Glucosamine",13,0
"Pathogenic","Sucrose_F","Nitrate",22,0
"Pathogenic","Sucrose_F","Vitamin-free",17,0
"Pathogenic","Sucrose_F","2-Keto-D-gluconate",10,0
"Pathogenic","Sucrose_F","Starch formation",23,0
"Pathogenic","Sucrose_F","Growth at 19°C",0,0
"Pathogenic","Sucrose_F","Growth at 25°C",0,0.777
"Pathogenic","Sucrose_F","Growth at 30°C",3,0.404
"Pathogenic","Sucrose_F","Growth at 37°C",0,0
"Pathogenic","Maltose_F","Lactose_F",23,0
"Pathogenic","Maltose_F","Raffinose_F",21,0
"Pathogenic","Maltose_F","Trehalose_F",18,0
"Pathogenic","Maltose_F","Glucose",0,1
"Pathogenic","Maltose_F","Inulin",22,0
"Pathogenic","Maltose_F","Sucrose",14,0
"Pathogenic","Maltose_F","Raffinose",16,0
"Pathogenic","Maltose_F","Melibiose",19,0
"Pathogenic","Maltose_F","Galactose",6,0
"Pathogenic","Maltose_F","Lactose",19,0
"Pathogenic","Maltose_F","Trehalose",8,0
"Pathogenic","Maltose_F","Maltose",13,0
"Pathogenic","Maltose_F","Melezitose",15,0
"Pathogenic","Maltose_F","Methyl-?-D-glucoside",17,0
"Pathogenic","Maltose_F","Soluble Starch",18,0
"Pathogenic","Maltose_F","Cellobiose",8,0
"Pathogenic","Maltose_F","Salicin",8,0
"Pathogenic","Maltose_F","L-Sorbose",7,0
"Pathogenic","Maltose_F","L-Rhamnose",15,0
"Pathogenic","Maltose_F","D-Xylose",8,0
"Pathogenic","Maltose_F","L-Arabinose",12,0
"Pathogenic","Maltose_F","D-Arabinose",17,0
"Pathogenic","Maltose_F","D-Ribose",12,0
"Pathogenic","Maltose_F","Methanol",23,0
"Pathogenic","Maltose_F","Ethanol",4,0.001
"Pathogenic","Maltose_F","Glycerol",2,0
"Pathogenic","Maltose_F","Erythritol",13,0
"Pathogenic","Maltose_F","Ribitol",8,0
"Pathogenic","Maltose_F","Galactitol",19,0
"Pathogenic","Maltose_F","D-Mannitol",6,0
"Pathogenic","Maltose_F","D-Glucitol",3,0
"Pathogenic","Maltose_F","myo-Inositol",22,0
"Pathogenic","Maltose_F","DL-Lactate",13,0
"Pathogenic","Maltose_F","Succinate",2,0
"Pathogenic","Maltose_F","Citrate",6,0
"Pathogenic","Maltose_F","D-Gluconate",4,0
"Pathogenic","Maltose_F","D-Glucosamine",13,0
"Pathogenic","Maltose_F","Nitrate",22,0
"Pathogenic","Maltose_F","Vitamin-free",17,0
"Pathogenic","Maltose_F","2-Keto-D-gluconate",10,0
"Pathogenic","Maltose_F","Starch formation",23,0
"Pathogenic","Maltose_F","Growth at 19°C",0,0
"Pathogenic","Maltose_F","Growth at 25°C",0,0.761
"Pathogenic","Maltose_F","Growth at 30°C",3,0.338
"Pathogenic","Maltose_F","Growth at 37°C",0,0
"Pathogenic","Lactose_F","Raffinose_F",21,0
"Pathogenic","Lactose_F","Trehalose_F",18,0
"Pathogenic","Lactose_F","Glucose",0,1
"Pathogenic","Lactose_F","Inulin",22,0
"Pathogenic","Lactose_F","Sucrose",14,0
"Pathogenic","Lactose_F","Raffinose",16,0
"Pathogenic","Lactose_F","Melibiose",19,0
"Pathogenic","Lactose_F","Galactose",6,0
"Pathogenic","Lactose_F","Lactose",19,0
"Pathogenic","Lactose_F","Trehalose",8,0
"Pathogenic","Lactose_F","Maltose",13,0
"Pathogenic","Lactose_F","Melezitose",15,0
"Pathogenic","Lactose_F","Methyl-?-D-glucoside",17,0
"Pathogenic","Lactose_F","Soluble Starch",18,0
"Pathogenic","Lactose_F","Cellobiose",8,0
"Pathogenic","Lactose_F","Salicin",8,0
"Pathogenic","Lactose_F","L-Sorbose",7,0
"Pathogenic","Lactose_F","L-Rhamnose",15,0
"Pathogenic","Lactose_F","D-Xylose",8,0
"Pathogenic","Lactose_F","L-Arabinose",12,0
"Pathogenic","Lactose_F","D-Arabinose",17,0
"Pathogenic","Lactose_F","D-Ribose",12,0
"Pathogenic","Lactose_F","Methanol",23,0
"Pathogenic","Lactose_F","Ethanol",4,0
"Pathogenic","Lactose_F","Glycerol",2,0
"Pathogenic","Lactose_F","Erythritol",13,0
"Pathogenic","Lactose_F","Ribitol",8,0
"Pathogenic","Lactose_F","Galactitol",19,0
"Pathogenic","Lactose_F","D-Mannitol",6,0
"Pathogenic","Lactose_F","D-Glucitol",3,0
"Pathogenic","Lactose_F","myo-Inositol",22,0
"Pathogenic","Lactose_F","DL-Lactate",13,0
"Pathogenic","Lactose_F","Succinate",2,0
"Pathogenic","Lactose_F","Citrate",6,0
"Pathogenic","Lactose_F","D-Gluconate",4,0
"Pathogenic","Lactose_F","D-Glucosamine",13,0
"Pathogenic","Lactose_F","Nitrate",22,0
"Pathogenic","Lactose_F","Vitamin-free",17,0
"Pathogenic","Lactose_F","2-Keto-D-gluconate",10,0
"Pathogenic","Lactose_F","Starch formation",23,0
"Pathogenic","Lactose_F","Growth at 19°C",0,0
"Pathogenic","Lactose_F","Growth at 25°C",0,0.738
"Pathogenic","Lactose_F","Growth at 30°C",3,0.206
"Pathogenic","Lactose_F","Growth at 37°C",0,0
"Pathogenic","Raffinose_F","Trehalose_F",18,0
"Pathogenic","Raffinose_F","Glucose",0,1
"Pathogenic","Raffinose_F","Inulin",22,0
"Pathogenic","Raffinose_F","Sucrose",14,0
"Pathogenic","Raffinose_F","Raffinose",16,0
"Pathogenic","Raffinose_F","Melibiose",19,0
"Pathogenic","Raffinose_F","Galactose",6,0
"Pathogenic","Raffinose_F","Lactose",19,0
"Pathogenic","Raffinose_F","Trehalose",8,0
"Pathogenic","Raffinose_F","Maltose",13,0
"Pathogenic","Raffinose_F","Melezitose",15,0
"Pathogenic","Raffinose_F","Methyl-?-D-glucoside",17,0
"Pathogenic","Raffinose_F","Soluble Starch",18,0
"Pathogenic","Raffinose_F","Cellobiose",8,0
"Pathogenic","Raffinose_F","Salicin",8,0
"Pathogenic","Raffinose_F","L-Sorbose",7,0
"Pathogenic","Raffinose_F","L-Rhamnose",15,0
"Pathogenic","Raffinose_F","D-Xylose",8,0
"Pathogenic","Raffinose_F","L-Arabinose",12,0
"Pathogenic","Raffinose_F","D-Arabinose",17,0
"Pathogenic","Raffinose_F","D-Ribose",12,0
"Pathogenic","Raffinose_F","Methanol",23,0
"Pathogenic","Raffinose_F","Ethanol",4,0
"Pathogenic","Raffinose_F","Glycerol",2,0
"Pathogenic","Raffinose_F","Erythritol",13,0
"Pathogenic","Raffinose_F","Ribitol",8,0
"Pathogenic","Raffinose_F","Galactitol",19,0
"Pathogenic","Raffinose_F","D-Mannitol",6,0
"Pathogenic","Raffinose_F","D-Glucitol",3,0
"Pathogenic","Raffinose_F","myo-Inositol",22,0
"Pathogenic","Raffinose_F","DL-Lactate",13,0
"Pathogenic","Raffinose_F","Succinate",2,0
"Pathogenic","Raffinose_F","Citrate",6,0
"Pathogenic","Raffinose_F","D-Gluconate",4,0
"Pathogenic","Raffinose_F","D-Glucosamine",13,0
"Pathogenic","Raffinose_F","Nitrate",22,0
"Pathogenic","Raffinose_F","Vitamin-free",17,0
"Pathogenic","Raffinose_F","2-Keto-D-gluconate",10,0
"Pathogenic","Raffinose_F","Starch formation",23,0
"Pathogenic","Raffinose_F","Growth at 19°C",0,0
"Pathogenic","Raffinose_F","Growth at 25°C",0,0.766
"Pathogenic","Raffinose_F","Growth at 30°C",3,0.267
"Pathogenic","Raffinose_F","Growth at 37°C",0,0
"Pathogenic","Trehalose_F","Glucose",0,1
"Pathogenic","Trehalose_F","Inulin",22,0
"Pathogenic","Trehalose_F","Sucrose",14,0
"Pathogenic","Trehalose_F","Raffinose",16,0
"Pathogenic","Trehalose_F","Melibiose",19,0
"Pathogenic","Trehalose_F","Galactose",6,0
"Pathogenic","Trehalose_F","Lactose",19,0
"Pathogenic","Trehalose_F","Trehalose",8,0
"Pathogenic","Trehalose_F","Maltose",13,0
"Pathogenic","Trehalose_F","Melezitose",15,0
"Pathogenic","Trehalose_F","Methyl-?-D-glucoside",17,0
"Pathogenic","Trehalose_F","Soluble Starch",18,0
"Pathogenic","Trehalose_F","Cellobiose",8,0
"Pathogenic","Trehalose_F","Salicin",8,0
"Pathogenic","Trehalose_F","L-Sorbose",7,0
"Pathogenic","Trehalose_F","L-Rhamnose",15,0
"Pathogenic","Trehalose_F","D-Xylose",8,0
"Pathogenic","Trehalose_F","L-Arabinose",12,0
"Pathogenic","Trehalose_F","D-Arabinose",17,0
"Pathogenic","Trehalose_F","D-Ribose",12,0
"Pathogenic","Trehalose_F","Methanol",23,0
"Pathogenic","Trehalose_F","Ethanol",4,0.003
"Pathogenic","Trehalose_F","Glycerol",2,0
"Pathogenic","Trehalose_F","Erythritol",13,0
"Pathogenic","Trehalose_F","Ribitol",8,0
"Pathogenic","Trehalose_F","Galactitol",19,0
"Pathogenic","Trehalose_F","D-Mannitol",6,0
"Pathogenic","Trehalose_F","D-Glucitol",3,0
"Pathogenic","Trehalose_F","myo-Inositol",22,0
"Pathogenic","Trehalose_F","DL-Lactate",13,0
"Pathogenic","Trehalose_F","Succinate",2,0
"Pathogenic","Trehalose_F","Citrate",6,0
"Pathogenic","Trehalose_F","D-Gluconate",4,0
"Pathogenic","Trehalose_F","D-Glucosamine",13,0
"Pathogenic","Trehalose_F","Nitrate",22,0
"Pathogenic","Trehalose_F","Vitamin-free",17,0
"Pathogenic","Trehalose_F","2-Keto-D-gluconate",10,0
"Pathogenic","Trehalose_F","Starch formation",23,0
"Pathogenic","Trehalose_F","Growth at 19°C",0,0
"Pathogenic","Trehalose_F","Growth at 25°C",0,0.77
"Pathogenic","Trehalose_F","Growth at 30°C",3,0.434
"Pathogenic","Trehalose_F","Growth at 37°C",0,0
"Pathogenic","Glucose","Inulin",22,1
"Pathogenic","Glucose","Sucrose",14,1
"Pathogenic","Glucose","Raffinose",16,1
"Pathogenic","Glucose","Melibiose",19,1
"Pathogenic","Glucose","Galactose",6,1
"Pathogenic","Glucose","Lactose",19,1
"Pathogenic","Glucose","Trehalose",8,1
"Pathogenic","Glucose","Maltose",13,1
"Pathogenic","Glucose","Melezitose",15,1
"Pathogenic","Glucose","Methyl-?-D-glucoside",17,1
"Pathogenic","Glucose","Soluble Starch",18,1
"Pathogenic","Glucose","Cellobiose",8,1
"Pathogenic","Glucose","Salicin",8,1
"Pathogenic","Glucose","L-Sorbose",7,1
"Pathogenic","Glucose","L-Rhamnose",15,1
"Pathogenic","Glucose","D-Xylose",8,1
"Pathogenic","Glucose","L-Arabinose",12,1
"Pathogenic","Glucose","D-Arabinose",17,1
"Pathogenic","Glucose","D-Ribose",12,1
"Pathogenic","Glucose","Methanol",23,1
"Pathogenic","Glucose","Ethanol",4,1
"Pathogenic","Glucose","Glycerol",2,1
"Pathogenic","Glucose","Erythritol",13,1
"Pathogenic","Glucose","Ribitol",8,1
"Pathogenic","Glucose","Galactitol",19,1
"Pathogenic","Glucose","D-Mannitol",6,1
"Pathogenic","Glucose","D-Glucitol",3,1
"Pathogenic","Glucose","myo-Inositol",22,1
"Pathogenic","Glucose","DL-Lactate",13,1
"Pathogenic","Glucose","Succinate",2,1
"Pathogenic","Glucose","Citrate",6,1
"Pathogenic","Glucose","D-Gluconate",4,1
"Pathogenic","Glucose","D-Glucosamine",13,1
"Pathogenic","Glucose","Nitrate",22,1
"Pathogenic","Glucose","Vitamin-free",17,1
"Pathogenic","Glucose","2-Keto-D-gluconate",10,1
"Pathogenic","Glucose","Starch formation",23,1
"Pathogenic","Glucose","Growth at 19°C",0,1
"Pathogenic","Glucose","Growth at 25°C",0,1
"Pathogenic","Glucose","Growth at 30°C",3,1
"Pathogenic","Glucose","Growth at 37°C",0,1
"Pathogenic","Inulin","Sucrose",14,0
"Pathogenic","Inulin","Raffinose",16,0
"Pathogenic","Inulin","Melibiose",19,0
"Pathogenic","Inulin","Galactose",6,0
"Pathogenic","Inulin","Lactose",19,0
"Pathogenic","Inulin","Trehalose",8,0
"Pathogenic","Inulin","Maltose",13,0
"Pathogenic","Inulin","Melezitose",15,0
"Pathogenic","Inulin","Methyl-?-D-glucoside",17,0
"Pathogenic","Inulin","Soluble Starch",18,0
"Pathogenic","Inulin","Cellobiose",8,0
"Pathogenic","Inulin","Salicin",8,0
"Pathogenic","Inulin","L-Sorbose",7,0
"Pathogenic","Inulin","L-Rhamnose",15,0
"Pathogenic","Inulin","D-Xylose",8,0
"Pathogenic","Inulin","L-Arabinose",12,0
"Pathogenic","Inulin","D-Arabinose",17,0
"Pathogenic","Inulin","D-Ribose",12,0
"Pathogenic","Inulin","Methanol",23,0
"Pathogenic","Inulin","Ethanol",4,0
"Pathogenic","Inulin","Glycerol",2,0
"Pathogenic","Inulin","Erythritol",13,0
"Pathogenic","Inulin","Ribitol",8,0
"Pathogenic","Inulin","Galactitol",19,0
"Pathogenic","Inulin","D-Mannitol",6,0
"Pathogenic","Inulin","D-Glucitol",3,0
"Pathogenic","Inulin","myo-Inositol",22,0
"Pathogenic","Inulin","DL-Lactate",13,0
"Pathogenic","Inulin","Succinate",2,0
"Pathogenic","Inulin","Citrate",6,0
"Pathogenic","Inulin","D-Gluconate",4,0
"Pathogenic","Inulin","D-Glucosamine",13,0
"Pathogenic","Inulin","Nitrate",22,0
"Pathogenic","Inulin","Vitamin-free",17,0
"Pathogenic","Inulin","2-Keto-D-gluconate",10,0
"Pathogenic","Inulin","Starch formation",23,0
"Pathogenic","Inulin","Growth at 19°C",0,0
"Pathogenic","Inulin","Growth at 25°C",0,0.756
"Pathogenic","Inulin","Growth at 30°C",3,0.333
"Pathogenic","Inulin","Growth at 37°C",0,0
"Pathogenic","Sucrose","Raffinose",16,0
"Pathogenic","Sucrose","Melibiose",19,0
"Pathogenic","Sucrose","Galactose",6,0
"Pathogenic","Sucrose","Lactose",19,0
"Pathogenic","Sucrose","Trehalose",8,0
"Pathogenic","Sucrose","Maltose",13,0
"Pathogenic","Sucrose","Melezitose",15,0
"Pathogenic","Sucrose","Methyl-?-D-glucoside",17,0
"Pathogenic","Sucrose","Soluble Starch",18,0
"Pathogenic","Sucrose","Cellobiose",8,0
"Pathogenic","Sucrose","Salicin",8,0
"Pathogenic","Sucrose","L-Sorbose",7,0
"Pathogenic","Sucrose","L-Rhamnose",15,0
"Pathogenic","Sucrose","D-Xylose",8,0
"Pathogenic","Sucrose","L-Arabinose",12,0
"Pathogenic","Sucrose","D-Arabinose",17,0
"Pathogenic","Sucrose","D-Ribose",12,0
"Pathogenic","Sucrose","Methanol",23,0
"Pathogenic","Sucrose","Ethanol",4,0.025
"Pathogenic","Sucrose","Glycerol",2,0
"Pathogenic","Sucrose","Erythritol",13,0
"Pathogenic","Sucrose","Ribitol",8,0
"Pathogenic","Sucrose","Galactitol",19,0
"Pathogenic","Sucrose","D-Mannitol",6,0
"Pathogenic","Sucrose","D-Glucitol",3,0
"Pathogenic","Sucrose","myo-Inositol",22,0
"Pathogenic","Sucrose","DL-Lactate",13,0.006
"Pathogenic","Sucrose","Succinate",2,0
"Pathogenic","Sucrose","Citrate",6,0
"Pathogenic","Sucrose","D-Gluconate",4,0
"Pathogenic","Sucrose","D-Glucosamine",13,0
"Pathogenic","Sucrose","Nitrate",22,0
"Pathogenic","Sucrose","Vitamin-free",17,0
"Pathogenic","Sucrose","2-Keto-D-gluconate",10,0
"Pathogenic","Sucrose","Starch formation",23,0
"Pathogenic","Sucrose","Growth at 19°C",0,0
"Pathogenic","Sucrose","Growth at 25°C",0,0.821
"Pathogenic","Sucrose","Growth at 30°C",3,0.679
"Pathogenic","Sucrose","Growth at 37°C",0,0
"Pathogenic","Raffinose","Melibiose",19,0
"Pathogenic","Raffinose","Galactose",6,0
"Pathogenic","Raffinose","Lactose",19,0
"Pathogenic","Raffinose","Trehalose",8,0
"Pathogenic","Raffinose","Maltose",13,0
"Pathogenic","Raffinose","Melezitose",15,0
"Pathogenic","Raffinose","Methyl-?-D-glucoside",17,0
"Pathogenic","Raffinose","Soluble Starch",18,0
"Pathogenic","Raffinose","Cellobiose",8,0
"Pathogenic","Raffinose","Salicin",8,0
"Pathogenic","Raffinose","L-Sorbose",7,0
"Pathogenic","Raffinose","L-Rhamnose",15,0
"Pathogenic","Raffinose","D-Xylose",8,0
"Pathogenic","Raffinose","L-Arabinose",12,0
"Pathogenic","Raffinose","D-Arabinose",17,0
"Pathogenic","Raffinose","D-Ribose",12,0
"Pathogenic","Raffinose","Methanol",23,0
"Pathogenic","Raffinose","Ethanol",4,0.005
"Pathogenic","Raffinose","Glycerol",2,0
"Pathogenic","Raffinose","Erythritol",13,0
"Pathogenic","Raffinose","Ribitol",8,0
"Pathogenic","Raffinose","Galactitol",19,0
"Pathogenic","Raffinose","D-Mannitol",6,0
"Pathogenic","Raffinose","D-Glucitol",3,0
"Pathogenic","Raffinose","myo-Inositol",22,0
"Pathogenic","Raffinose","DL-Lactate",13,0
"Pathogenic","Raffinose","Succinate",2,0
"Pathogenic","Raffinose","Citrate",6,0
"Pathogenic","Raffinose","D-Gluconate",4,0
"Pathogenic","Raffinose","D-Glucosamine",13,0
"Pathogenic","Raffinose","Nitrate",22,0
"Pathogenic","Raffinose","Vitamin-free",17,0
"Pathogenic","Raffinose","2-Keto-D-gluconate",10,0
"Pathogenic","Raffinose","Starch formation",23,0
"Pathogenic","Raffinose","Growth at 19°C",0,0
"Pathogenic","Raffinose","Growth at 25°C",0,0.792
"Pathogenic","Raffinose","Growth at 30°C",3,0.532
"Pathogenic","Raffinose","Growth at 37°C",0,0
"Pathogenic","Melibiose","Galactose",6,0
"Pathogenic","Melibiose","Lactose",19,0
"Pathogenic","Melibiose","Trehalose",8,0
"Pathogenic","Melibiose","Maltose",13,0
"Pathogenic","Melibiose","Melezitose",15,0
"Pathogenic","Melibiose","Methyl-?-D-glucoside",17,0
"Pathogenic","Melibiose","Soluble Starch",18,0
"Pathogenic","Melibiose","Cellobiose",8,0
"Pathogenic","Melibiose","Salicin",8,0
"Pathogenic","Melibiose","L-Sorbose",7,0
"Pathogenic","Melibiose","L-Rhamnose",15,0
"Pathogenic","Melibiose","D-Xylose",8,0
"Pathogenic","Melibiose","L-Arabinose",12,0
"Pathogenic","Melibiose","D-Arabinose",17,0
"Pathogenic","Melibiose","D-Ribose",12,0
"Pathogenic","Melibiose","Methanol",23,0
"Pathogenic","Melibiose","Ethanol",4,0
"Pathogenic","Melibiose","Glycerol",2,0
"Pathogenic","Melibiose","Erythritol",13,0
"Pathogenic","Melibiose","Ribitol",8,0
"Pathogenic","Melibiose","Galactitol",19,0
"Pathogenic","Melibiose","D-Mannitol",6,0
"Pathogenic","Melibiose","D-Glucitol",3,0
"Pathogenic","Melibiose","myo-Inositol",22,0
"Pathogenic","Melibiose","DL-Lactate",13,0
"Pathogenic","Melibiose","Succinate",2,0
"Pathogenic","Melibiose","Citrate",6,0
"Pathogenic","Melibiose","D-Gluconate",4,0
"Pathogenic","Melibiose","D-Glucosamine",13,0
"Pathogenic","Melibiose","Nitrate",22,0
"Pathogenic","Melibiose","Vitamin-free",17,0
"Pathogenic","Melibiose","2-Keto-D-gluconate",10,0
"Pathogenic","Melibiose","Starch formation",23,0
"Pathogenic","Melibiose","Growth at 19°C",0,0
"Pathogenic","Melibiose","Growth at 25°C",0,0.749
"Pathogenic","Melibiose","Growth at 30°C",3,0.398
"Pathogenic","Melibiose","Growth at 37°C",0,0
"Pathogenic","Galactose","Lactose",19,0
"Pathogenic","Galactose","Trehalose",8,0
"Pathogenic","Galactose","Maltose",13,0
"Pathogenic","Galactose","Melezitose",15,0.002
"Pathogenic","Galactose","Methyl-?-D-glucoside",17,0.044
"Pathogenic","Galactose","Soluble Starch",18,0.002
"Pathogenic","Galactose","Cellobiose",8,0.005
"Pathogenic","Galactose","Salicin",8,0.003
"Pathogenic","Galactose","L-Sorbose",7,0
"Pathogenic","Galactose","L-Rhamnose",15,0.001
"Pathogenic","Galactose","D-Xylose",8,0
"Pathogenic","Galactose","L-Arabinose",12,0
"Pathogenic","Galactose","D-Arabinose",17,0
"Pathogenic","Galactose","D-Ribose",12,0
"Pathogenic","Galactose","Methanol",23,0.048
"Pathogenic","Galactose","Ethanol",4,0.195
"Pathogenic","Galactose","Glycerol",2,0
"Pathogenic","Galactose","Erythritol",13,0
"Pathogenic","Galactose","Ribitol",8,0
"Pathogenic","Galactose","Galactitol",19,0
"Pathogenic","Galactose","D-Mannitol",6,0
"Pathogenic","Galactose","D-Glucitol",3,0
"Pathogenic","Galactose","myo-Inositol",22,0.019
